area_id,target_area_id,zone,Urban,Irrig pasture,Alfalfa,All Field,Sugar beets,Irrig Grain,Rice,Truck Crops,Tomato,Orchard,Vineyard,Riparian Vegetation,Native Vegetation,Non-irrig Grain,Water Surface
33,BBID,OMR,0.0,0.0,0.001,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
34,BBID,OMR,0.0,0.0,0.105,0.0,0,0.967,0,0.0,0.0,0.0,0.0,0,0,0,0
41,BBID,OMR,0.0,0.0,0.0,0.0,0,0.001,0,0.0,0.0,0.006,0.0,0,0,0,0
103,BBID,OMR,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.008,0.0,0,0,0,0
128,BBID,OMR,0.0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,1.0,0,0,0,0
130,BBID,SJR_WEST,0.0,0.568,0.826,0.232,0,0.79,0,0.126,0.379,0.415,0.625,0,0,0,0
41,BantaCarbona,OMR,0.0,0.16,0.074,0.0,0,0.0,0,0.229,0.004,0.88,0.0,0,0,0,0
79,BantaCarbona,OMR,0.0,0.0,0.035,0.107,0,0.0,0,0.746,0.0,0.04,0.0,0,0,0,0
103,BantaCarbona,OMR,0.0,0.986,0.972,0.809,0,0.0,0,0.998,0.956,0.912,1.0,0,0,0,0
24,Sacramento,SAC_NORTH,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
125,Sacramento,SAC_SOUTH,0.734,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
147,Sacramento,SAC_NORTH,0.815,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
148,Sacramento,SAC_NORTH,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
11,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
12,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
25,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
36,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
43,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
45,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
63,Stockton,MOK,0.435,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
75,Stockton,SJR_EAST,0.997,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
105,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
106,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
108,Stockton,SJR_EAST,0.973,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
116,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
120,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
143,Stockton,SJR_EAST,0.641,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
149,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
150,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
151,Stockton,SJR_EAST,0.991,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
153,Stockton,SJR_EAST,0.909,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
155,Stockton,SJR_EAST,0.999999688,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
157,Stockton,SJR_EAST,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
41,Tracy,OMR,0.604,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
66,Tracy,OMR,0.647,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
103,Tracy,OMR,0.643,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
38,West Sac,SAC_NORTH,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
148,West Sac,SAC_NORTH,0.014,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
